,Abrangência/ Cobertura,Assunto/ palavras-chave,Descrição,Identifier,Título
0,"Goiás, Goiás (GO)
","Identificação
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Carmo||Cadastro de Bens Culturais Imóveis||Inventário Nacional de Bens Imóveis||textual
","03 folhas textuais; 01 planta; 01 foto.
||Documentação abrangendo o período de 1996 - 1997.
",,"Imóvel à Rua Monsenhor Azevedo, n° 14"
1,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Área de Entorno||textual
","20 folhas textuais; 03 plantas.
||Documentação abrangendo o período de 2008 - 2009.
",,"Imóvel à Avenida Deusdeth Ferreira de Moura, Quadra 09, Lote 04"
2,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Rua Rosa Gomes||Setor Carmo||Setor Santa Bárbara||textual
","01 folha textual.
||Documentação referente ao ano de 2008.
",,"Imóvel à Rua Hugo Ramos, nº 36"
3,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Área de Entorno||textual
","25 folhas textuais; 01 planta.
||Documentação abrangendo o período de 2011 - 2014.
",,"Imóvel à Avenida Deusdeth Ferreira de Moura, Quadra 09, Lote 02"
4,"Goiás, Goiás (GO)
","Identificação
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Carmo||Cadastro de Bens Culturais Imóveis||Inventário Nacional de Bens Imóveis||textual
","03 folhas textuais; 01 foto; 01 planta.
||Documentação abrangendo o período de 1996 -1997.
",,"Imóvel à Rua da Carioca, n° 04"
5,"Goiás, Goiás (GO)
","Identificação
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Carmo||Cadastro de Bens Culturais Imóveis||Inventário Nacional de Bens Imóveis||textual
","03 folhas textual; 01 foto; 01 planta.
||Documentação abrangendo o período de 1996 - 1997.
",,"Imóvel à Rua Monsenhor Azevedo, n° 08"
6,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Rua Rosa Gomes||Setor Carmo||Setor Santa Bárbara||textual
","08 folhas textuais.
||Documentação abrangendo o período de 2006 - 2015.
",,"Imóvel à Rua Hugo Ramos, nº 09"
7,"Goiás, Goiás (GO)
","Identificação
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Carmo||Igreja de Nossa Senhora do Rosário||Convento São Domingos||Cadastro de Bens Culturais Imóveis||Inventário Nacional de Bens Imóveis||textual
","03 folhas textuais; 02 fotos.
||Documentação abrangendo o período de 1996 -1997.
",,Largo do Rosário
8,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Área de Entorno||textual
","03 folhas textuais.
||Parecer e relatório fotográfico.
",,"Imóvel à Avenida Deusdeth Ferreira de Moura, Quadra 11, Lote 12 e 13"
9,"Goiás, Goiás (GO)
","Identificação
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Carmo||Cadastro de Bens Culturais Imóveis||Inventário Nacional de Bens Imóveis||textual
","03 folhas textuais; 01 foto.
||Documentação abrangendo o período de 1996 -1997.
",,"Imóvel à Rua da Carioca, n° 05"
10,"Goiás, Goiás (GO)
","Identificação
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Carmo||Cadastro de Bens Culturais Imóveis||Inventário Nacional de Bens Imóveis||textual
","03 folhas textuais; 01 planta; 01 planta.
||Documentação abrangendo o período de 1996 -1997.
",,"Imóvel à Rua da Carioca, n° 03"
11,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Fiscalização||Notificação de Embargo||Rua do Ouvidor||textual
","15 folhas textuais.
||Documentação abrangendo o período de 1992 - 2015.
",,"Imóvel à Rua Senador Eugênio Jardim, nº 26"
12,"Goiás, Goiás (GO)
","Obras
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Intervenção||Empresa de Telecomunicações de Goiás - TELEGOIÁS S.A.||Rua Corumbá||textual
","19 folhas textuais.
||Documentação abrangendo o período de 1994 - 2007.
",,"Imóvel à Rua Maximiano Mendes, nº 10"
13,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Rua Corumbá||textual
","02 folhas textuais.
||Documentação referente ao ano de 1990.
",,"Imóvel à Rua Maximiano Mendes, s/n (02)"
14,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Rua Corumbá||textual
","09 folhas textuais.
||Documentação abrangendo o período de 2006 - 2015.
",,"Imóvel à Rua Maximiano Mendes, nº 14"
15,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Rua Rosa Gomes||Setor Carmo||Setor Santa Bárbara||textual
","01 folha textual.
||Documentação referente ao ano de 2009.
",,"Imóvel à Rua Hugo Ramos, nº 34"
16,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Rua do Ouvidor||textual
","06 folhas textuais.
||Documentação abrangendo o período de 1990 - 2010.
",,"Imóvel à Rua Senador Eugênio Jardim, nº 19"
17,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Santa Bárbara||Área de Entorno||textual
","03 folhas textuais.
||Requerimento e parecer.
",,"Imóvel à Rua Santa Bárbara, s/n (4)"
18,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Rua Corumbá||textual
","01 folha textual.
||Documentação referente ao ano de 1998.
",,"Imóvel à Rua Maximiano Mendes, s/n (03)"
19,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Rua Corumbá||Instalação de Tenda Móvel||Tapioca do Cerrado||textual
","05 folhas textuais.
||Documentação referente ao ano de 2015.
",,"Imóvel à Rua Maximiano Mendes, s/n (06)"
20,"Goiás, Goiás (GO)
","Fiscalização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Santa Bárbara||Área de Entorno||textual
","09 folhas textuais.
||Notificação de ação irregular.
",,"Imóvel à Rua Santa Bárbara, Quadra 19, Lote 10"
21,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Santa Bárbara||Área de Entorno||textual
","03 folhas textuais.
||Requerimento.
",,"Imóvel à Rua Santa Bárbara, n° 05 A"
22,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Santa Bárbara||Área de Entorno||textual
","03 folhas textuais.
||Requerimento.
",,"Imóvel à Rua Santa Bárbara, n° 03"
23,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Carmo||textual
","10 folhas textuais.
||Documentação abrangendo o período de 1994 - 1995.
",,"Imóvel à Rua da Abadia, nº 12"
24,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Santana||Praça Doutor Brasil Ramos Caiado||Conjunto Arquitetônico e Urbanístico do Largo do Chafariz, ou Praça Monsenhor Confúcio, inclusive Chafariz da Boa Morte||Programa Monumenta||textual
","20 folhas textuais; 01 planta.
||Documentação abrangendo o período de 1987 - 2011.
",,"Imóvel à Rua Senador Caiado, n° 47"
25,"Goiás, Goiás (GO)
","Fiscalização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Santa Bárbara||Área de Entorno||textual
","02 folhas textuais.
||Notificação de irregularidade e requerimento.
",,"Imóvel à Rua Santa Bárbara, s/n (6)"
26,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Rua Corumbá||textual
","05 folhas textuais.
||Documentação abrangendo o período ode 2002 - 2011.
",,"Imóvel à Rua Maximiano Mendes, nº 03"
27,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Rua Corumbá||textual
","01 folha textual.
||Documentação referente ao ano de 2000.
",,"Imóvel à Rua Maximiano Mendes, nº 02"
28,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Área de Entorno||Construção Nova||textual
","29 folhas textuais.
||Requerimento, proposta e parecer.
",,"Imóvel à Avenida Deusdeth Ferreira de Moura, Quadra 10, Lote 08"
29,"Goiás, Goiás (GO)
","Obras
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Carmo||Rua Bartolomeu Bueno||Intervenção||textual
","39  folhas textuais; 01 foto.
||Documentação abrangendo o período de 1987 - 2005.
",,"Imóvel à Rua da Cambaúba, n° 30"
30,"Goiás, Goiás (GO)
","Identificação
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Carmo||Cadastro de Bens Culturais Imóveis||Inventário Nacional de Bens Imóveis||textual
","03 folhas textuais; 01 foto; 01 planta.
||Documentação abrangendo o período de 1996 - 1997.
",,"Imóvel à Rua Monsenhor Azevedo, n° 22"
31,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Carmo||Rua do Fórum||Rua Coronel Luiz Guedes Amorim||textual
","05 folhas textuais.
||Documentação abrangendo o período de 2001 - 2010.
",,"Imóvel à Rua Monsenhor Azevedo, n° 08"
32,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Área de Entorno||textual
","02 folhas textuais.
||Parecer.
",,"Imóvel à Avenida Deusdeth Ferreira de Moura, s/n (1)"
