Assuntos;Catalogação Pré MARC;Descrição Física;Entradas Secundárias/Autor;Entradas Secundárias/Série;Notas;Número de chamada;Publicação;Série;Título Principal;Unidade_de_Informação;Endereço Eletrônico;Autor Principal;ISBN;Edição;Outros Títulos;ISSN;Nota de conteúdo;Número de Chamada;Título Uniforme/Original;Coleção;Notas de Resumo;Notas Locais;Acesso Eletrônico;Local e Editora da Publicação;Localização do Artigo;Título do Artigo;Autor do Artigo;Freqüência da Publicação;Título Anterior;Título Chave/Abreviado
Matriz santo antonio  Mercado economia  Capela dourada  Pernambuco  Mercado  do peixe da vila do recife  Mobiliario pernambucano  Recife antigo  Igrejas  Nossa senhora do rosario  dos homens pretos  Nossa senhora da penha  Recife  Arquitetura civil;;383. p.il.;;;A biblioteca possui 2 ex.;726.5  S658i  IPHAN-PE;Recife : Universidade Federal de Pernambuco/IPHAN, 1979.;;"Igrejas, casas e móveis; aspectos de arte colonial brasileira /";IPHAN-PE(328);;Smith, Robert Chester;;;;;;;;;;;;;;;;;;
Palácios  Palacetes  Arquitetura  Patrimônio cultural  Igrejas  Belém do pará;;230 p.;Derenji, Jussara da Silveira;;;720.98115  D431i  IPHAN-PE;Brasília : Iphan, 2009.;;Igrejas, Palácios e Palacetes de Belém /;IPHAN-PE(328);;Derenji, Jorge;;;;;;;;;;;;;;;;;;
Paraná  Imigração  Cidade de lapa;;21  p.;;;;981.62  I31  F  IPHAN-PE;Curitiba : Museu Casa Lacerda/ IPHAN 10ª CR, 1996.;;IMIGRAÇÃO na Lapa;IPHAN-PE(328);;;;;;;;;;;;;;;;;;;;
Cd  Dvd  Rom;;;;;;;[S.l.]  [s.n.];;INCEU : MANUAL E FICHAS: IPHAN/DID/SETEMBRO 2001;IPHAN-PE(328);;;;;;;;211  IPHAN-PE;;;;;;;;;;;;
Rom  Cd  Dvd;;;;;;;[S.l.]  [s.n.];;INCEU : MANUAL E FICHAS: IPHAN/DID/SETEMBRO 2001;IPHAN-PE(328);;;;;;;;219  IPHAN-PE;;;;;;;;;;;;
Arquitetura  Superquadra  Planejamento urbano  Brasília (DF);;528 p.:il;Ferreira, Marcilio Mendes;;;720.098174  F383i  IPHAN-PE;Brasília : Iphan, 2009.;;A Invenção da Superquadra : o conceito de unidade de vizinhança em Brasília /;IPHAN-PE(328);;Gorovitz, Matheus   1938-    Detalhes;;;;;;;;;;;;;;;;;;
Patrimônio cultural  Proteção;;80  p.;;;;720.81  I62  IPHAN-PE;Rio de Janeiro : Iphan, 1995.;;A INVENÇÃO do patrimônio : continuidade e ruptura na constituição  de uma política oficial de preservação no Brasil;IPHAN-PE(328);;;;;;;;;;;;;;;;;;;;
Capela de são joão  Vicência  Engenho poço comprido;;1 v. il. 46 fot.;;;;INVENT.  003  IPHAN-PE;[S.l.]  [s.n.];;INVENTÁRIO das imagens guardadas no IPHAN pertencentes a Capela de São João no Engenho Poço Comprido municipio de Vicência;IPHAN-PE(328);;;;;;;;;;;;;;;;;;;;
Brasil  Patrimônio cultural  Bens de referência cultural  Preservação de patrimônio  Inventários;;140 p.;;;Biblioteca Básica;363.6981  I622  IPHAN-PE;Rio de Janeiro : Iphan, 1998.;;INVENTÁRIO de Identificação : um panorama da experiência brasileira;IPHAN-PE(328);;;;;;;;;;;;;;;;;;;;
Patrimônio  História de pernambuco  Escada  Ipojuca  Engenho  Pe  Moreno  Jaboatão dos guararapes  Arquitetura de engenho;;9 V.;;;ENGENHOS do Município de ESCADA :{ Aguas Claras, Alegria, Ajudante, Amizade, Amora, Animoso, Arandu, Arimunan, Aripibu, Barra, Barro Branco, Bella Vista, Bello Monte, Boa Sorte, Boa Vista, Bom Fim, Bom Jardim, Bom Sucesso, Braço do Meio, Brilhante, Cabeça de Negro, Cabrunema, Cachoeira, Cachoeira Tapada, Cachoeirinha, Caetés, Cafundó, Caipora, Camaçari, Campestre, Canto Escuro, Capindão, Caprichos ou Reflexão, Cassuá, Cassupin, Caxias, Central Bamburral, Central Firmeza, Clacituba, Colônia, Conceição, Conceição de Baixo, Conceição de Cima, Conceição Nova, Conselho, Constituinte, Contendas, Cotegi de Baixo (Cotigy), Cotegi de Cima, Criméia, Dois Braços, Dois Braços de Baixo, Dois Braços de Cima, Dois Leões, Firmeza, Florêncio, Floresta, Frexeiras, Gaipo, Garra, Gequiá, Girento (Gerente), Guarany, Guerra, Gurjau, Harmonia, Irmandade, Jaguarana, Jaguaribe, Jaguaribe- Meirim, Jiqui, Juçaral, (Usina) Jundia (Santa Philonila), Jundiá do Goloso, Jundiá Grande, Jundiá Mirim, Leão, Liberdade, Limão, Limeira, (Usina) Limoeirinho, Limoeiro Velho, Mangueira, Manuel, Maracujá, (Usina) Massauassu ou Maçauassu, Matapiruma, Mauá, Mupam, Muricy, Mussu, Noruega, Novo, Novo da Noruega, Onça, Oriental, Pará, Paragassu, Paraná, Patachoca, Pau Ferro, Pé de Serra, Pirauíra, Poço D'Antas, Praieiro, Prazeres, Preferência, Recreio, Refresco, Regalia, Riachão do Norte, Rola, Rua Nova, Santa Cruz, Santa Helena, Santa Maria, São João, São José, São Manuel, São Mateus, São Miguel ,São Pedro, São Vicente, Sapacagy (Sapucaji), Sapucaji de Baixo, Sapucaji de Cima, Serra D'Agua, Serra Nova, Simbiró, Simbiró Grande, Soledade, Taquara, Terra dos Índios, Três Braços, União, Uruçu, Vicente Campello, Villeta, Zumba, Pompéia (Casa Grande), Usina Barão de Suassuna,  Usina Mameluco, Usina Maria das Mercês, Engenho Bosque, Engenho Frade, Juçaral Grande, Nossa Senhora da Soledade, Rancho do Vale, Underval, Mundo Novo (Engenho Extra), Matapiruma de Baixo (Engenho Extra). - ENGENHOS  do Município de IPOJUCA : { Agua Fria, Amazonas, Arantagil, Arendepe, arimbi, Atalaia, Belém, Bemfica, Bertioga, Boacica, Boa Esperança, Bom Fim, Bom Jesus, Cachoeira, Caeté, California, Camelinha, Camunema, Canoas, Canto, Capobre, Caroaçu, Carvalhos, Castello, Cavalcante, Cocaú, Conceição, Conceição Nova, Conceição Velha (Usina Bandeira), Coroaçu, Crauassu, Darangunza, Diamante, Dois Mundos de Baixo, Dois Rios, Dourado, Esmeralda, Esperança, Fernandes, Fortaleza, Gaipió, Gameleira, Jenipapo, Guerra, Ilha do Alvaro, Ipojuca (Usina Ipojuca), Jatobá, Jaçaralsinho, Jitaí, Jussara, Macaco, Maranhão, Maria das Mercês (Usina Maria das Mercês), Mata Fome, Mattas, Mato Grosso, Mauá, do Meio, Mercês, Mirador, Monte D'Ouro, Montevidéo, Muitas Voltas, Nossa Senhora da Conceição, Nossa Senhora do Pilar, Nossa Senhora do Rosário, Outeiro, Pacavira, Pantorra, Pará, Penderama, Penderaminha, Piedade, Pindoba, Pindobinha, Pindoba de Baixo, Pindoba de Cima, Pirajá, Providência, Queluz, Recanto, Sacco, Salgado (Usina Salgado), Santa Clara, Santa Maria, Santa Luzia, Santa Rosa, Santo Cosme, São Carlos, São Francisco, São João, São João Salgado, São José, São Lourenço, São Luiz, São Paulo, São Pedro,   Sibiró da Matta, Sibiró da Serra, Sibiró de Baixo, Sibiró de Cima, Sibiró de Santa Cruz, Sibiró do Cavalcante, Sibirosinho, Soledade, Supitanga, Tabatinga, Tapera, Todos os Santos, Trapiche, Três-Braças, Três Reis, União, Utinga, Utinga de Baixo, Utinga de Cima, Vermelho. ENGENHOS do município de JABOATÃO DOS GUARARAPES: { Algibeira, Ana Paula, Antonio Pereira, Barbalho, Bartolomeu, Bella Vista, Cabras Velhas ou Sapucaia, Caiongo, Camaçari (camassari), Camaço, Camará, Camarão, Camarco, Cananduba, Canzanza, Capelinha, Caraúna (Carahuna), Cavalleiro, Caxito, Comportas, Conceição, Cova da Onça, Coveta, Cumaru, Cumbe, D'Alimbero, Antonio Nunes Ximenes, Duas Unas, Entre Rios, Estiva, Floresta, Fortaleza, Furna, Goiabeira, Guarani (Guarany), Guararapes, Gurjau, (Usina) Jaboatão), Jaboatãozinho, Jangadinha, Jarissara, Macujê, Manaçu, Manuel Bezerra, Masahyba de Baixo, Masahyba de Cima, Matto Grosso, Megaípe, Megaípe de Baixo, Megoapa, Muribequinha, Mussahiba, Nossa Senhora da Apresentação, Nossa Senhora da Boa Viagem dos Guararapes, Nossa Senhora da Conceição, Nossa Senhora da Guia, Novo da Muribeca, Palmeira, Santa Cruz, Mangaré, Mangaree, Paraizo (Paraíso), Pedra Lavrada, Penanduba, Penandubinha, Petimbu, Quiahombo, Recreio, Rico, Salgadinho, Sant'anna, Santa Maria, Santo Amaro, Santo André, Santo Antônio, Santo Estevam, Santo Amarinho, Santo Bartolomeu, São João, São Joaquim, São Jose ou Novo, São Pedro, São Salvador, Sicopeminha, Socorro, (Usina) Suassuna, Sucupema (Soupoupema), Taquari, Una, Velho, Usina Bulhões, Antônio Bulhões, São João Batista, Usina Colonia (Progresso Colonial), Usina Muribeca, Engenho Carnijó, Caxito de Baixo, Marimbondo, Novo, Sítio Carpina, Zumbi.  ENGENHOS do Município de MORENO: { Araújo, Auxiliadora, Bela Vista, Bom Dia, Brejo, Buscau, Cabras Velhas ou Sapucaia, Camarão, Capim-Açu ou Capim Assu, Caraúna, Carnijó, Catende, Conceição, Contra Açude, Covos, Cumaru, Dois Irmãos, Floresta, Furna, Guarany, Gurjaú, Gurjaú de Baixo, Gurjaú de Cima, Jardim, Javunda, Jussara, Laranjeiras, Mato Grosso, Moreninho, (Usina) Moreno ou Morenos ou Nossa Senhora da Apresentação, Novo da Conceição, Pacoval, Paris, Pereira, Pintos, Pocinhos, Poço D'Antas, Queimadas, São Brás, Serraria, Seva, Tapera, Timbó, Varzea do Una, Xixaim, Engenho Una, Pixaó. }}}}.;981.34  I597i  IPHAN-PE;Recife : Iphan, 2011.;;Inventário de Varredura do Patrimônio Material do Ciclo da Cana-de-Açúcar;IPHAN-PE(328);;Iphan - Instituto do Patrimônio Histórico E Artístico Nacional - Superintendência Em Pernambuco;;;;;;;;;;;;;;;;;;
Patrimônio ferroviário  Pernambuco;;4V.;;;;725.338134  I622  IPHAN-PE;Recife : Iphan, 2009.;;INVENTÁRIO do Patrimônio Ferroviário em Pernambuco;IPHAN-PE(328);;;;;;;;;;;;;;;;;;;;
Salvaguarda patrimonial  Legislação patrimonial  Terreiros inventariados  Patrimônio imaterial  Patrimônio cultural;;152 p.;;;;363.69  I622  IPHAN-PE  299.6  I62  IPHAN-AP;Brasília : Iphan, 2009.;;INVENTÁRIO dos Terreiros do Distrito Federal e entorno;IPHAN-PE(328);;;ISBN 97885733342321;;;;;;;;;;;;;;;;;
Patrimônio histórico  Bens tombados;;304 p.;;;;363.690981  I622  IPHAN-PE;Brasília : Iphan, 2007.;;INVENTÁRIO Nacional de bens Imóveis : sítios urbanos tombados - INBI-SU : manual de preenchimento;IPHAN-PE(328);;;;;;;;;;;;;;;;;;;;
Rom  Dvd  Cd;;;;;;;[S.l.]  [s.n.];;INVENTÁRIO NACIONAL DE BENS IMÓVEIS : SÍTIOS URBANOS TOMBADOS : DEPARTAMENTO DE IDENTIFICAÇÃO E DOCUMENTAÇÃO/IPHAN: VERSÃO 25.11.98;IPHAN-PE(328);;;;;;;;182  IPHAN-PE;;;;;;;;;;;;
Igreja da ordem terceira do carmo  Cronologia  Recife  Igreja de santa teresa  Acessórios  Artes visuais  Escultura religiosa;;v. 1, n.9, il.;;;;394/2004  IPHAN-PE;[S.l.]  [s.n.];;Inventario Nacional de Bens Móveis e Integrados - INBMI : Igreja da Ordem Terceira de Nossa Senhora do Carmo do Recife;IPHAN-PE(328);;Iphan - 5ª SR;;;;;;;;;;;;;;;;;;
Equipamento de comunicação sonora/visual.  Cronologia  Recife  Comunicação  Equipamento de documentação escrita  Igreja da ordem terceira do carmo  Igreja de santa teresa  Documento;;v. 1, n.2, il;;;;387/2004  IPHAN-PE;[S.l.]  [s.n.];;Inventario Nacional de Bens Móveis e Integrados - INBMI : Igreja da Ordem Terceira de Nossa Senhora do Carmo do Recife;IPHAN-PE(328);;Iphan - 5ª SR;;;;;;;;;;;;;;;;;;
Conologia  Igreja de santa teresa  Peça de mobiliario.  Igreja da ordem terceira do carmo  Acessório de interiores  Objeto de iluminação  interiores  Recife;;v.1, n.8, il.;;;;393/2004  IPHAN-PE;[S.l.]  [s.n.];;Inventario Nacional de Bens Móveis e Integrados - INBMI : Igreja da Ordem Terceira de Nossa Senhora do Carmo do Recife;IPHAN-PE(328);;Iphan - 5ª SR;;;;;;;;;;;;;;;;;;
Igreja da ordem terceira do carmo  Igreja de santa teresa  Cronologia  Objetos cerimoniais  Objeto de culto  Acessório de objeto de culto  Recife;;v. 1, n.5, il.;;;;390/2004  IPHAN-PE;[S.l.]  [s.n.];;Inventario Nacional de Bens Móveis e Integrados - INBMI : Igreja da Ordem Terceira de Nossa Senhora do Carmo do Recife;IPHAN-PE(328);;Iphan - 5ª SR;;;;;;;;;;;;;;;;;;
Conologia  Escultura religiosa.  Igreja de santa teresa  Artes visuais  Recife  Igreja da ordem terceira do carmo;;v.1, n.7, il;;;;392/2003  IPHAN-PE;[S.l.]  [s.n.];;Inventario Nacional de Bens Móveis e Integrados - INBMI : Igreja da Ordem Terceira de Nossa Senhora do Carmo do Recife;IPHAN-PE(328);;Iphan - 5ª SR;;;;;;;;;;;;;;;;;;
Igreja da ordem terceira do carmo  Igreja de santa teresa  Estampa.  Artes visuais  Recife  Cronologia  Pintura;;v. 1, n. 10, il.;;;;395/2004  IPHAN-PE;[S.l.]  [s.n.];;Inventario Nacional de Bens Móveis e Integrados - INBMI : Igreja da Ordem Terceira de Nossa Senhora do Carmo do Recife;IPHAN-PE(328);;Iphan - 5ª SR;;;;;;;;;;;;;;;;;;
Objetos pessoais  Igreja de santa teresa  Peça de indumentaria.  Objeto de adorno  Objeto de devoção pessoal  Igreja da ordem terceira do carmo  Cronologia  Acessorio de indumentaria  Recife;;v. 1, n.6, il.;;;;391/2004  IPHAN-PE;[S.l.]  [s.n.];;Inventario Nacional de Bens Móveis e Integrados - INBMI : Igreja da Ordem Terceira de Nossa Senhora do Carmo do Recife;IPHAN-PE(328);;Iphan - 5ª SR;;;;;;;;;;;;;;;;;;
Amostras/fragmentos.  Igreja de santa teresa  Igreja da ordem terceira do carmo  Recife;;v.1, n. 4, il.;;;;398/2004  IPHAN-PE;[S.l.]  [s.n.];;Inventario Nacional de Bens Móveis e Integrados - INBMI : Igreja da Ordem Terceira de Nossa Senhora do Carmo do Recife;IPHAN-PE(328);;Iphan -  5ª Sr;;;;;;;;;;;;;;;;;;
Igreja de santa teresa  Insígnia.  Igreja da ordem terceira do carmo  Recife  Insígnias  Atributo de escultura religiosa;;v. 1, n.3, il.;;;;388/2004  IPHAN-PE;[S.l.]  [s.n.];;Inventario Nacional de Bens Móveis e Integrados - INBMI : Igreja da Ordem Terceira de Nossa Senhora do Carmo do Recife;IPHAN-PE(328);;Iphan - 5ª SR;;;;;;;;;;;;;;;;;;
Arquitetura religiosa  Arte    sacra  História  Maranhão  Patrimonio histórico;;78  p. il.;;;;981.21  B862i  IPHAN-PE;São Luís : IPHAN 3ª SR, 2000.;;"Inventario nacional de bens móveis e integrados; a experiência do Maranhão 1997/1999 /";IPHAN-PE(328);;Brito, Stella Regina Soares de;;;;;;;;;;;;;;;;;;
Elemento decorativo  Igreja da ordem terceira do carmo  Abrigo  Recife  Cronologia  Igreja de santa teresa  Elemento hidraulico.  Construção;;v.1, n.1, il.;;;;386/2004  IPHAN-PE;[S.l.]  [s.n.];;Inventario Nacional de Bens Móveis e Intergrados - INBMI : Igreja da Ordem Terceira de Nossa Senhora do Carmo do Recife;IPHAN-PE(328);;Iphan - 5ª SR;;;;;;;;;;;;;;;;;;
Rom  Dvd  Cd;;;;;;;[S.l.]  [s.n.];;"IPHAN - OFICINAS: PROGRAMA DE ESPECIALIZAÇÃO EM PATRIMÔNIO - PEP: BIBLIOTECA BÁSICA

DVD 1 - OFICINA DE VASSOURAS - 2009 : CONFERÊNCIA DE ABERTURA - ULPIANO BEZERRA DE MENESES : ETNICIDADE E RECONHECIMENTO - ELIANE CANTARINO O'DWYER

DVD 2 - OFICINA DE VASSOURAS - 2009 : PATRIMÔNIO CULTURAL E PROPRIEDADE INTELECTUAL - CARLA BELAS: OS DESAFIOS DO PATRIMÔNIO AMBIENTAL - FERNANDO WALCACER

DVD 3 - OFICINA DE VASSOURAS - 2009 : PRÁTICAS DE GESTÃO DE BENS CULTURAIS - MÁRCIA CHUVA: DISCURSOS, OBJETOS E PRÁTICAS PATRIMONIAIS - IZABELA TAMASO

DVD 4 - OFICINA DE VASSOURAS - 2009: POLÍTICA E GESTÃO DO PATRIMÔNIO URBANO - NIVALDO VIEIRA DE ANDRADE JUNIOR: PAISAGEM URBANA DO ENTORNO E BENS TOMBADOS - RAFAEL ARRELARO

DVD 5 - OFICINA DE VASSOURAS - 2009: MAPEAMENTO DO PATRIMÔNIO CULTURAL E NATURAL DO ESTADO DE TOCANTINS - IVANA MEDEIROS PACHECO CAVALCANTE: CASAS DO PATRIMÔNIO EM PERNAMBUCO - ROMERO DE OLIVEIRA E SILVA FILHO";IPHAN-PE(328);;;;;;;;400  IPHAN-PE;;;;;;;;;;;;
Iphan 6ª cr  História;;;;;;178  F  IPHAN-PE;Rio de Janeiro : Ministerio da Cultura, 19??.;;"IPHAN 6ª Coordenação Regional; Rio de Janeiro e espirito Santo";IPHAN-PE(328);;;;;;;;;;;;;;;;;;;;
Politica cultural  Seminarios  Patrimonio histórico;;22  p. il. 29 cm;;;;720.8  I64  F  IPHAN-PE;Rio de Janeiro : Asphan, 1996.;;O IPHAN na construção de nossa nacionalidade : uma contribuição de seus trabalhadores: sintese dos debates do seminario realizado no Rio de Janeiro de 20 a 22 de maio de 1996;IPHAN-PE(328);;;;;;;;;;;;;;;;;;;;
Sphan  Pernambuco  Forte  Convite;;;;;;293  F  IPHAN-PE;[S.l.]  [s.n.];;"IPHAN; inauguração da exposição do dia comemorativo do patrimonio no Forte de Pau Amarelo em 17 de agosto";IPHAN-PE(328);;;;;;;;;;;;;;;;;;;;
Iphan  sede da 10ª coordenação regional;;;;;;426  F  IPHAN-PE;[S.l.]  Iphan, 2002.;;IPHAN-sede da 10ª coordenação regional;IPHAN-PE(328);;Iphan;;;;;;;;;;;;;;;;;;
Literatura brasileira  Romance;;42  p. il.;;;;869  A368i  F  IPHAN-PE;Fortaleza : UFC-IPHAN, 1996.;;"Iracema; romance de José de Alecar quadrinhizado /";IPHAN-PE(328);;Alencar, José de,  1829-1877;;;;;;;;;;;;;;;;;;
Patrimônio cultural  Artesanato  Jóias artesanais  Programa monumenta  Instituto do patrimônio histórico e artístico nacional  Preservação do patrimônio  Desenvolvimento sustentável;;84 p.;;;;338.927  P933 V.1  IPHAN-PE;Brasília : IPHAN/Monumenta, 2006.;;JÓIAS Artesanais de Natividade : Tocantins, 1;IPHAN-PE(328);;;;;;;;;;;;;;;;;;;;
Patrimônio cultural  Jóias artesanais  Instituto do patrimônio histórico e artístico nacional  Desenvolvimento sustentável  Artesanato  Programa monumenta  Preservação do patrimônio;;84 p.;;;;338.927  P933 V.1 ex.2  IPHAN-PE;Brasília : IPHAN/Monumenta, 2006.;;JÓIAS Artesanais de Natividade : Tocantins, 1;IPHAN-PE(328);;;;;;;;;;;;;;;;;;;;
Patrimônio imaterial  Dança  jogo  Folclore  Cultura popular;;92 p.:il.+ CD-ROM;;;;784.1888  J799  IPHAN-PE;Brasília : Iphan, 2007.;;JONGO no Sudeste;IPHAN-PE(328);;;;;;;;;;;;;;;;;;;;
Arquitetura  Patrimônio cultural  Coretos  Pará  Largos  Praças  Belém (PA)  Arte;;172 p.:il.;;;A biblioteca possui 2 exemplares;709.03498115  S676l  IPHAN-PE;Brasília : Iphan, 2009.;;Largos, Coretos e Praças de Belém /;IPHAN-PE(328);;Soares, Elizabeth Nelo;;;;;;;;;;;;;;;;;;
Portaria nº 07 (01 de dezembro de 1988)  Legislação jazidas  pré  Legislação  História  Arqueologia  Lei nº 3.924 (26.07.1961);;8  p.;;;;913  L614  F  IPHAN-PE;Rio de Janeiro : Iphan, 1961.;;"LEGISLAÇÃO brasileira protetora das jazidas pré-históricas; Lei   nº 3924 de 26 de julho de 1961";IPHAN-PE(328);;;;;;;;;;;;;;;;;;;;
Cd  Dvd  Rom;;;;;;;[S.l.]  [s.n.];;LEVANTAMENTO FONTES DOCUMENTAIS DO IPHAN - 5ª.SR/2006;IPHAN-PE(328);;;;;;;;103  IPHAN-PE;;;;;;;;;;;;
1998)  Patrimonio histórico  Preservação  Costa, lucio (1902;;328  p. il.;;;Organizador José Simões de Belmont Pessoa;720  L931  IPHAN-PE;Rio de Janeiro : Iphan, 1999.;;"LUCIO Costa; documentos de trabalho";IPHAN-PE(328);;;;;;;;;;;;;;;;;;;;
Madeira  Degradação da madeira  Química da madeira  Preservação  Botânica da madeira  Conservação de madeira  Instituto do patrimônio histórico e artístico nacional  Patrimônio cultural;;"244 p.;il";;;;363.690288  B823c V.6  IPHAN-PE;Brasília : IPHAN/Monumenta, 2006.;;"Madeira : uso e conservação;  Cadernos Técnicos, 6 /";IPHAN-PE(328);;Gonzaga, Armando Luiz;;;;;;;;;;;;;;;;;;
Cultura indígena  Guarani  Mbya  Folclore;;78 p.:il.;;;;398  M285  IPHAN-PE;Rio de Janeiro : Iphan, 2009.;;MAINO'I rapé : o caminho da sabedoria;IPHAN-PE(328);;;;;;;;;;;;;;;;;;;;
Preservação.  Bens culturais  História;;84  p.il,col. 24 cm.;;;3 exemplares;037/2005  IPHAN-PE;Brasília : Iphan, 2005.;;Manual - Arqueologia Histórica /;IPHAN-PE(328);;Najjar, Rosana.;;;;;;;;;;;;;;;;;;
Escultura em pedra  Monumentos  Materiais de construção.  Projeto de cantaria;;;;;3 exemplares;036/2005  IPHAN-PE;Brasília : Iphan, 2005. 88 p.il.col. 24 cm.;;Manual - Conservação de Cantaria /;IPHAN-PE(328);;Almeida, Frederico Faria Neves;;;;;;;;;;;;;;;;;;
Paisagismo  Preservação  Restauração e conservação  Jardim  Ecossistema;;;;;3 exemplares;038/2005  IPHAN-PE;"Brasília : Iphan, 2005. 152 p. il.col.; 24 cm.";;Manual - Intervenções em jardins históricos /;IPHAN-PE(328);;Delphim,carlos Fernando de Moura.;;;;;;;;;;;;;;;;;;
Educação patrimonial;;24 p.:il.;;;;363.6907  G888m  IPHAN-PE;Brasília : Iphan, 2007.;;Manual de Atividades Práticas de Educação Patrimonial /;IPHAN-PE(328);;Grunberg, Elvina;;;;;;;;;;;;;;;;;;
Igrejas  Arte  Conservação e restauração  Monumentos  Arquivos;;118  p. il.;;;;720.8  M921m  IPHAN-PE;Rio de Janeiro : Iphan, 1996.;;Manual de manutenção de obras de arte para encarregados de igrejas e casas históricas /;IPHAN-PE(328);;Motta, Ariadne Barbosa de Souza;;;;;;;;;;;;;;;;;;
Marechal deodoro  Al  Alagoas  Penedo  Patrimônio cultural  Turismo  Cultura  Piranhas  História  Patrimônio histórico;;86 p.:il + CD-Rom;;;Acompanha CD-Rom;981.35  M279  IPHAN-PE;Alagoas : Iphan, 2009.;;MAPEAMENTO Cultural : cidades históricas, Marechal Deodoro, Penedo e Piranhas, caminhos turísticos de Alagoas;IPHAN-PE(328);;;;;;;;;;;;;;;;;;;;
Ilha de marajó, pa  Cultura marajoara  Patrimônio cultural;;204 p.:il.;;;;363.69098115  M299  IPHAN-PE;Belém : Iphan, 2008.;;MARAJÓ : Culturas e Paisagens;IPHAN-PE(328);;;;;;;;;;;;;;;;;;;;
Patrimônio cultural  Mariana, mg  Cidades históricas  Minas gerais  História;;64 p.:il.;;;;981.51  M333  IPHAN-PE;Brasília : Iphan, 2008.;;MARIANA : Minas Gerais - Imagens;IPHAN-PE(328);;;;;;;;;;;;;;;;;;;;
Dvd  Cd  Rom;;;;;;;[S.l.]  [s.n.];;MATRIZ DA BOA VISTA : INBM/IPHAN: 2º PAVIMENTO: PORTADAS, FACHADAS, JANELAS;IPHAN-PE(328);;;;;;;;320  IPHAN-PE;;;;;;;;;;;;
Cd  Rom  Dvd;;;;;;;[S.l.]  [s.n.];;MATRIZ DA BOA VISTA : INBMI/IPHAN: 1º PAVIMENTO: PISOS E PORTADAS;IPHAN-PE(328);;;;;;;;319  IPHAN-PE;;;;;;;;;;;;
Cd  Dvd  Rom;;;;;;;[S.l.]  [s.n.];;MATRIZ DA BOA VISTA : INBMI/IPHAN: PAINÉIS E VITRAIS: PAINÉIS DA CAPELA DOURADA;IPHAN-PE(328);;;;;;;;318  IPHAN-PE;;;;;;;;;;;;
Programa monumenta  Imigrantes  Patrimônio cultural  Educação patrimonial  Instituto do patrimônio histórico e artístico nacional  Preservação do patrimônio  Desenvolvimento sustentável  Rs  Casas tombadas  Casas de madeira  Antônio prado;;"88 p.;il";;;;338.927  P933 V.16  IPHAN-PE;Brasília : IPHAN/Monumenta, 2009.;;MEMÓRIA e Preservação : Antônio Prado - RS, 16;IPHAN-PE(328);;;;;;;;;;;;;;;;;;;;
"Memoria iphan; carlos drummond de andrade: funcionario do iphan de 1945 a 1962";;;;;;425  F  IPHAN-PE;[S.l.]  CIDP, 2002.;;MEMORIA IPHAN (CARLOS DRUMMOND DE ANDRADE);IPHAN-PE(328);;Iphan;;;;;;;;;;;;;;;;;;
Arqueologia  Congresso  Sítio arqueológico  Seminarios  Conservação;;240  p.il.;;;;913.81  M593  2 Ed.  IPHAN-PE;Rio de Janeiro : IPHAN/Departamento de Promoção, 1994.;;MÉTODOS arqueológicos e gerenciamento de bens culturais;IPHAN-PE(328);;;;2. ed.;;;;;;;;;;;;;;;;
Patrimônio mundial  Patrimônio  Parent, michel  Preservação;;344 p.:il.;;;Organizado por Claudia Feierabend Baeta leal - ( Biblioteca Básica);363.690981  M678  IPHAN-PE;Rio de Janeiro : Iphan, 2008.;;AS MISSÕES da Unesco no Brasil : Michel Parent;IPHAN-PE(328);;;;;;;;;;;;;;;;;;;;
Patrimônio cultural  Conservação  Mobiliário  Bahia  Patrimônio histórico;;176 p. il.;;;;749.98115  F619m  IPHAN-PE;Brasília : Iphan, 2009.;;Mobiliário Baiano /;IPHAN-PE(328);;Flexor, Maria Helena Ochi;;;;;;;;;;;;;;;;;;
Nossa senhora do carmo (ouro preto)  Lucio costa  Iphan  Dourador  Patrimônio histórico  Patrimônio cultural  Capelas antigas (são paulo)  Modernismo  Manuel da costa ataíde  Patrimônio  Instituições públicas  Casa rural  Arte brasileira  Pintura colonial;;;;;;288/2003  2. ed.  IPHAN-PE;Rio de Janeiro : UFRJ/IPHAN, 2000.;;Modernistas na repartição;IPHAN-PE(328);;Cavalcanti, Lauro (org.);;2. ed.;;;;;;;;;;;;;;;;
Viola de cocho  Modo de fazer  Instrumento musical  Patrimônio imaterial  Patrimônio cultural;;112 p.:il. + CD-ROM;;;;787.38  M692  IPHAN-PE;Brasília : Iphan, 2009.;;MODO de Fazer Viola-de-Cocho;IPHAN-PE(328);;;;;;;;;;;;;;;;;;;;
Quartel  Paraná  Paranaguá (PR)  Arquitetura religiosa  Museu  Igreja matriz  Alfandega  Colegio jesuiticos;;41  p. il.;;;Bibliografia;726.582  M317m  F  IPHAN-PE;Curitiba : IPHAN - 10ª SR, 1999.;;Monumentos da arquitetura religiosa de Paranagua /;IPHAN-PE(328);;Marchette, Tatiana Dantas;;;;;;;;;;;;;;;;;;
Arqueologia  Amazônia marajoara  Ilha de marajó, pa  História  Cultura marajoara  Sítios arqueológicos  Santa cruz do arari, pa;;200 p.;;;;930.1  M953  IPHAN-PE;Belém : Iphan, 2010.;;MUITO Além dos Campos : Arqueologia e história na Amazônia Marajoara;IPHAN-PE(328);;;;;;;;;;;;;;;;;;;;
